"subjectID","trial","roi","meanPE","sdPE","run"
"FP002",21,"pgACC",1.95981,8.64265,"run2"
"FP002",22,"pgACC",2.46572,7.64369,"run2"
"FP002",23,"pgACC",1.71369,3.51157,"run2"
"FP002",24,"pgACC",1.90443,6.44403,"run2"
"FP002",25,"pgACC",1.11517,9.41542,"run2"
"FP002",26,"pgACC",2.22036,5.83815,"run2"
"FP002",27,"pgACC",0.957422,6.91914,"run2"
"FP002",28,"pgACC",-1.7716,8.95688,"run2"
"FP002",29,"pgACC",-2.83847,9.13707,"run2"
"FP002",30,"pgACC",-2.57357,9.74617,"run2"
"FP002",31,"pgACC",-0.472629,5.68316,"run2"
"FP002",32,"pgACC",-2.2947,7.48173,"run2"
"FP002",33,"pgACC",1.15055,8.65192,"run2"
"FP002",34,"pgACC",-0.338361,5.16716,"run2"
"FP002",35,"pgACC",0.174409,3.8917,"run2"
"FP002",36,"pgACC",-0.577587,6.12962,"run2"
"FP002",1,"vmPFC",-2.37462,6.9357,"run1"
"FP002",2,"vmPFC",0.291793,5.73816,"run1"
"FP002",3,"vmPFC",0.668346,9.97496,"run1"
"FP002",4,"vmPFC",-1.68124,5.98735,"run1"
"FP002",5,"vmPFC",-1.38378,8.13849,"run1"
"FP002",6,"vmPFC",0.156784,6.7018,"run1"
"FP002",7,"vmPFC",-1.22519,4.93566,"run1"
"FP002",8,"vmPFC",-1.06015,5.02861,"run1"
"FP002",9,"vmPFC",-0.856988,5.27812,"run1"
"FP002",10,"vmPFC",-0.361072,4.75484,"run1"
"FP002",11,"vmPFC",-0.316947,2.95309,"run1"
"FP002",12,"vmPFC",0.112062,3.27565,"run1"
"FP002",13,"vmPFC",0.4378,3.53178,"run1"
"FP002",14,"vmPFC",0.271694,5.99154,"run1"
"FP002",15,"vmPFC",3.22364,6.5252,"run1"
"FP002",16,"vmPFC",0.0501436,3.93599,"run1"
"FP002",17,"vmPFC",2.39364,8.02714,"run1"
"FP002",18,"vmPFC",0.5434,6.56479,"run1"
"FP002",19,"vmPFC",0.266806,4.67916,"run1"
"FP002",20,"vmPFC",-1.05496,7.27233,"run1"
"FP002",21,"vmPFC",0.296844,4.27233,"run1"
"FP002",22,"vmPFC",-0.140182,3.47837,"run1"
"FP002",23,"vmPFC",-0.468771,2.73915,"run1"
"FP002",24,"vmPFC",-1.07413,3.52571,"run1"
"FP002",25,"vmPFC",-0.221996,6.4229,"run1"
"FP002",26,"vmPFC",1.30976,7.01978,"run1"
"FP002",27,"vmPFC",1.19882,8.14695,"run1"
"FP002",28,"vmPFC",-2.14355,8.48653,"run1"
"FP002",29,"vmPFC",0.0462845,10.5767,"run1"
"FP002",30,"vmPFC",-9.46767,10.8924,"run1"
"FP002",31,"vmPFC",-1.32687,3.93571,"run1"
"FP002",32,"vmPFC",-0.659312,4.53484,"run1"
"FP002",33,"vmPFC",0.134799,2.7477,"run1"
"FP002",34,"vmPFC",0.241803,5.19521,"run1"
"FP002",35,"vmPFC",0.0711926,4.00499,"run1"
"FP002",36,"vmPFC",0.58809,4.45467,"run1"
"FP002",1,"vmPFC",0.497468,3.52214,"run2"
"FP002",2,"vmPFC",-0.971624,5.76468,"run2"
"FP002",3,"vmPFC",-1.8306,7.56643,"run2"
"FP002",4,"vmPFC",-3.80952,9.03746,"run2"
"FP002",5,"vmPFC",-8.92628,11.304,"run2"
"FP002",6,"vmPFC",-4.72437,10.8515,"run2"
"FP002",7,"vmPFC",-2.97579,4.91404,"run2"
"FP002",8,"vmPFC",-0.850878,4.36107,"run2"
"FP002",9,"vmPFC",-4.42651,7.7718,"run2"
"FP002",10,"vmPFC",-2.09796,7.3203,"run2"
"FP002",11,"vmPFC",-2.43246,3.65346,"run2"
"FP002",12,"vmPFC",-0.251576,7.54047,"run2"
"FP002",13,"vmPFC",3.06022,5.84368,"run2"
"FP002",14,"vmPFC",3.74672,6.80692,"run2"
"FP002",15,"vmPFC",5.83702,10.3907,"run2"
"FP002",16,"vmPFC",11.7513,11.4587,"run2"
"FP002",17,"vmPFC",7.35945,13.6243,"run2"
"FP002",18,"vmPFC",4.49058,8.28682,"run2"
"FP002",19,"vmPFC",0.842285,3.19594,"run2"
"FP002",20,"vmPFC",3.53922,5.6138,"run2"
"FP002",21,"vmPFC",1.72487,7.24582,"run2"
"FP002",22,"vmPFC",2.36278,6.27846,"run2"
"FP002",23,"vmPFC",1.41145,2.55285,"run2"
