"subjectID","trial","roi","meanPE","sdPE","run"
"FP002",13,"vmPFC",2.091,4.37385,"run2"
"FP002",14,"vmPFC",1.92658,4.38603,"run2"
"FP002",15,"vmPFC",2.89134,5.41971,"run2"
"FP002",16,"vmPFC",7.7436,7.67452,"run2"
"FP002",17,"vmPFC",3.50122,7.81145,"run2"
"FP002",18,"vmPFC",3.79425,7.1003,"run2"
"FP002",19,"vmPFC",1.81429,5.14012,"run2"
"FP002",20,"vmPFC",4.11769,5.84967,"run2"
"FP002",21,"vmPFC",1.94903,6.7116,"run2"
"FP002",22,"vmPFC",2.70225,6.75373,"run2"
"FP002",23,"vmPFC",2.71545,4.37802,"run2"
"FP002",24,"vmPFC",2.72869,5.63448,"run2"
"FP002",25,"vmPFC",2.0829,5.34947,"run2"
"FP002",26,"vmPFC",2.94123,5.21351,"run2"
"FP002",27,"vmPFC",1.80933,5.54241,"run2"
"FP002",28,"vmPFC",0.013972,4.82748,"run2"
"FP002",29,"vmPFC",-0.225193,4.80715,"run2"
"FP002",30,"vmPFC",-0.970635,4.51239,"run2"
"FP002",31,"vmPFC",0.719157,4.78745,"run2"
"FP002",32,"vmPFC",-1.44577,5.51874,"run2"
"FP002",33,"vmPFC",0.747209,4.6689,"run2"
"FP002",34,"vmPFC",-0.290394,6.17183,"run2"
"FP002",35,"vmPFC",-0.38669,5.22327,"run2"
"FP002",36,"vmPFC",-0.659856,6.09688,"run2"
"FP002",1,"VS",0.190187,6.36676,"run1"
"FP002",2,"VS",0.439686,6.56394,"run1"
"FP002",3,"VS",2.10498,7.14865,"run1"
"FP002",4,"VS",1.69591,6.69494,"run1"
"FP002",5,"VS",0.777873,6.25271,"run1"
"FP002",6,"VS",1.01745,6.3163,"run1"
"FP002",7,"VS",0.813937,6.14429,"run1"
"FP002",8,"VS",-0.868112,6.35093,"run1"
"FP002",9,"VS",-0.15518,6.81793,"run1"
"FP002",10,"VS",-0.120191,6.35855,"run1"
"FP002",11,"VS",0.353,5.80774,"run1"
